"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Nucor","1,63M","42,68B","32,49B","24,85","1,88"
"Omnicom","4,73M","21,75B","16,07B","10,18","0,97"
"AvalonBay","1,1M","23,92B","3,04B","24,03","0,754"
"Marriott Int","1,52M","87,6B","6,87B","34,49","1,17"
"Ingersoll Rand","3,06M","37,93B","7,46B","71,51","1,33"
"Bristol-Myers Squibb","14,47M","121,17B","48,19B","16,65","0,295"
"American Electric Power","3,44M","64,42B","21,26B","17,70","0,61"
"Thermo Fisher Scientific","1,96M","203,77B","44,56B","31,86","0,949"
"Newmont Goldcorp","9,64M","118,14B","21,50B","16,91","0,43"
"Public Storage","1,13M","49,76B","4,80B","29,45","0,99"
"The Travelers","1,53M","65,32B","48,83B","10,97","0,53"
"Stanley Black Decker","1,69M","13,25B","15,17B","27,95","1,20"
"Franklin Resources","4,95M","14,01B","8,85B","25,14","1,49"
"Humana","1,74M","23,28B","126,36B","17,93","0,46"
"Paramount Skydance","8,98M","11,55B","28,73B","-41,88","1,18"
"Chubb","1,7M","129,56B","59,40B","12,83","0,488"
"J&J","9M","572,91B","94,19B","21,57","0,33"
"Tyson Foods","3,22M","22,96B","55,13B","116,60","0,46"
"Target","7,21M","50,19B","105,24B","13,53","1,12"
"Jabil Circuit","1,2M","25,54B","31,11B","37,29","1,25"
"American Express","2,77M","243,27B","66,97B","23,14","1,15"
"Masco","2,42M","14,77B","7,60B","18,28","1,18"
"Stryker","1,84M","138,6B","25,12B","43,23","0,90"
"Prudential Financial","1,89M","34,73B","55,66B","10,23","0,951"
"Abbott Labs","8,52M","189,67B","44,33B","29,40","0,72"
"GE Aerospace","5,09M","321,33B","45,86B","37,38","1,38"
"Quest Diagnostics","1,04M","21,39B","10,85B","22,52","0,56"
"United Parcel Service","6,25M","98,88B","88,66B","17,75","1,10"
"CVS Health Corp","7,97M","96,9B","391,69B","205,83","0,48"
"PPL","6,99M","26,39B","8,98B","24,31","0,72"
"Simon Property","1,44M","75,14B","6,36B","13,93","1,40"
